Year,Revenue
1999,29.40
2000,33.70
2001,26.50
2002,26.80
2003,30.10
2004,34.20
2005,38.80
2006,35.40
2007,38.30
2008,37.60
2009,35.10
2010,43.60
2011,54
2012,53.34
2013,52.71
2014,55.87
2015,55.36
2016,59.39
2017,62.76
2018,70.85
2019,71.97
2020,77.87
2021,79.02
2022,63.05
2023,54.23
2024,53.10
