Year,Revenue
2001,3.89
2002,2.70
2003,3.52
2004,5
2005,5.85
2006,5.27
2007,5.86
2008,5.81
2009,5.40
2010,6.49
2011,6.57
2012,5.42
2013,5.30
2014,5.51
2015,3.99
2016,4.27
2017,5.25
2018,6.48
2019,6.73
2020,9.76
2021,16.43
2022,23.60
2023,22.68
2024,25.79
